reconstruction_error,is_anomaly_95,is_anomaly_99,is_anomaly_std
0.015933255,False,False,False
0.0047039767,False,False,False
0.0052992497,False,False,False
0.019607099,False,False,False
0.0047240322,False,False,False
0.0093413945,False,False,False
0.004626485,False,False,False
0.0032742424,False,False,False
0.004050241,False,False,False
0.003709944,False,False,False
0.011852034,False,False,False
0.007000724,False,False,False
0.12272783,True,False,False
0.005861807,False,False,False
0.0059135873,False,False,False
0.0049915747,False,False,False
0.004651683,False,False,False
0.00693883,False,False,False
0.024109531,False,False,False
0.01143306,False,False,False
0.0046205353,False,False,False
0.012574967,False,False,False
0.006628045,False,False,False
0.00829991,False,False,False
0.008936106,False,False,False
0.01224598,False,False,False
0.007421047,False,False,False
0.0062573845,False,False,False
0.023413956,False,False,False
0.0035628253,False,False,False
0.0058730813,False,False,False
0.0046154633,False,False,False
0.003725324,False,False,False
0.026160924,False,False,False
0.058072016,False,False,False
0.002122854,False,False,False
0.025475934,False,False,False
0.008575546,False,False,False
0.013902148,False,False,False
0.0060213315,False,False,False
0.07814091,True,False,False
0.014244454,False,False,False
0.041014433,False,False,False
0.0006501544,False,False,False
0.058461998,False,False,False
0.0030405205,False,False,False
0.008085091,False,False,False
0.014266044,False,False,False
0.0021286574,False,False,False
0.0037232602,False,False,False
0.014724018,False,False,False
0.0006501544,False,False,False
0.0029571287,False,False,False
0.13491838,True,False,False
0.0147449,False,False,False
0.003317494,False,False,False
0.016202359,False,False,False
0.0107477605,False,False,False
0.004784653,False,False,False
0.005400362,False,False,False
0.009235487,False,False,False
0.0032072624,False,False,False
0.01659944,False,False,False
0.0037993828,False,False,False
0.00411804,False,False,False
0.016315045,False,False,False
0.062259972,False,False,False
0.0044667814,False,False,False
0.04590574,False,False,False
0.01840418,False,False,False
0.016655369,False,False,False
0.0049458495,False,False,False
0.03603427,False,False,False
0.012547196,False,False,False
0.019785408,False,False,False
0.019688357,False,False,False
0.012189361,False,False,False
0.009520964,False,False,False
0.017170278,False,False,False
0.024006194,False,False,False
0.00562537,False,False,False
0.0067703086,False,False,False
0.0036928877,False,False,False
0.018285811,False,False,False
0.003902149,False,False,False
0.0045600655,False,False,False
0.020562472,False,False,False
0.00795744,False,False,False
0.0006501544,False,False,False
0.048655998,False,False,False
0.06182412,False,False,False
0.083586074,True,False,False
0.043390688,False,False,False
0.03088426,False,False,False
0.026714934,False,False,False
0.00494008,False,False,False
0.014617948,False,False,False
0.0057651554,False,False,False
0.010074521,False,False,False
0.02505145,False,False,False
0.017435314,False,False,False
0.048463177,False,False,False
0.004163033,False,False,False
0.025309734,False,False,False
0.009762291,False,False,False
0.0063585816,False,False,False
0.028707182,False,False,False
0.009480123,False,False,False
0.0023999487,False,False,False
0.0077906623,False,False,False
0.015512973,False,False,False
0.0006501544,False,False,False
0.040892154,False,False,False
0.0006501544,False,False,False
0.0033448914,False,False,False
0.007888715,False,False,False
0.0050480026,False,False,False
0.0064226156,False,False,False
0.007339903,False,False,False
0.0131402,False,False,False
0.022680689,False,False,False
0.013311703,False,False,False
0.03379209,False,False,False
0.07138351,False,False,False
0.06455814,False,False,False
0.0133689195,False,False,False
0.0030043903,False,False,False
0.011108834,False,False,False
0.032665,False,False,False
0.004524511,False,False,False
0.010741786,False,False,False
0.007073186,False,False,False
0.0053894785,False,False,False
0.04188975,False,False,False
0.010532159,False,False,False
0.006545357,False,False,False
0.0053276145,False,False,False
0.0055701626,False,False,False
0.018390162,False,False,False
0.0047638183,False,False,False
0.033847857,False,False,False
0.0017066043,False,False,False
0.009335463,False,False,False
0.010618807,False,False,False
0.0023999487,False,False,False
0.004454924,False,False,False
0.0088167805,False,False,False
0.006132931,False,False,False
0.05357537,False,False,False
0.0041085426,False,False,False
0.0006501544,False,False,False
0.029333146,False,False,False
0.0089594675,False,False,False
0.003785875,False,False,False
0.004046401,False,False,False
0.00938252,False,False,False
0.029653642,False,False,False
0.049255196,False,False,False
0.0030734423,False,False,False
0.0038379224,False,False,False
0.0006501544,False,False,False
0.015819456,False,False,False
0.008657474,False,False,False
0.11319111,True,False,False
0.0035592413,False,False,False
0.010882078,False,False,False
0.005379853,False,False,False
0.0051518506,False,False,False
0.02105523,False,False,False
0.0061379476,False,False,False
0.003560805,False,False,False
0.020560876,False,False,False
0.014034745,False,False,False
0.008847359,False,False,False
0.0119408555,False,False,False
0.031774297,False,False,False
0.026777577,False,False,False
0.0218571,False,False,False
0.002343706,False,False,False
0.0045136972,False,False,False
0.0063795694,False,False,False
0.0078111794,False,False,False
0.020017132,False,False,False
0.26891157,True,True,False
0.005714195,False,False,False
0.008430601,False,False,False
0.0041406914,False,False,False
0.0062711197,False,False,False
0.0056759184,False,False,False
0.005276807,False,False,False
0.007149829,False,False,False
0.11345825,True,False,False
0.005356131,False,False,False
0.04943161,False,False,False
0.010812074,False,False,False
0.00596819,False,False,False
0.01143306,False,False,False
0.0023867972,False,False,False
0.0056804297,False,False,False
0.13137515,True,False,False
0.0038957763,False,False,False
0.005730702,False,False,False
0.007604021,False,False,False
0.07286221,False,False,False
0.04064799,False,False,False
0.020488184,False,False,False
0.0006501544,False,False,False
0.0058131483,False,False,False
0.0069044707,False,False,False
0.010355428,False,False,False
0.011809407,False,False,False
0.007718836,False,False,False
0.007650538,False,False,False
0.011040197,False,False,False
0.0069357865,False,False,False
0.046326082,False,False,False
0.0027780184,False,False,False
0.012362675,False,False,False
0.0044787168,False,False,False
0.006492411,False,False,False
0.008639414,False,False,False
0.0038041652,False,False,False
0.045792755,False,False,False
0.016466731,False,False,False
0.06628687,False,False,False
0.010206914,False,False,False
0.0026350098,False,False,False
0.008263,False,False,False
0.008016967,False,False,False
0.0065382244,False,False,False
0.035226565,False,False,False
0.013725882,False,False,False
0.029793706,False,False,False
0.009024556,False,False,False
0.009387534,False,False,False
0.0032109516,False,False,False
0.033075616,False,False,False
0.0026146858,False,False,False
0.009477968,False,False,False
0.0041113687,False,False,False
0.005850873,False,False,False
0.020722438,False,False,False
0.020597352,False,False,False
0.07904409,True,False,False
0.00815898,False,False,False
0.06811638,False,False,False
0.0065003657,False,False,False
0.010290881,False,False,False
0.006203327,False,False,False
0.102214634,True,False,False
0.0064390325,False,False,False
0.003388669,False,False,False
0.024454243,False,False,False
0.005293904,False,False,False
0.06652483,False,False,False
0.0069283396,False,False,False
0.003524864,False,False,False
0.0125309015,False,False,False
0.0041700755,False,False,False
0.010323151,False,False,False
0.006379711,False,False,False
0.003721498,False,False,False
0.005156908,False,False,False
0.05556538,False,False,False
0.013117352,False,False,False
0.0035049208,False,False,False
0.0082255555,False,False,False
0.0006501544,False,False,False
0.003191979,False,False,False
0.0043396065,False,False,False
0.016309733,False,False,False
0.067659944,False,False,False
0.028516214,False,False,False
0.0067277784,False,False,False
0.02009988,False,False,False
0.041636903,False,False,False
1.0992109,True,True,True
0.010172932,False,False,False
0.051082898,False,False,False
0.005950395,False,False,False
0.0662347,False,False,False
0.041014574,False,False,False
0.006418648,False,False,False
0.006101036,False,False,False
0.0043314565,False,False,False
0.0026934042,False,False,False
0.003754389,False,False,False
0.010618989,False,False,False
0.18160695,True,True,False
0.027234087,False,False,False
0.018575273,False,False,False
0.0032852292,False,False,False
0.14748551,True,False,False
0.018160677,False,False,False
0.00412449,False,False,False
0.027283391,False,False,False
0.009916352,False,False,False
0.014167996,False,False,False
0.018507525,False,False,False
0.021910744,False,False,False
0.008005978,False,False,False
0.12228405,True,False,False
0.0049962807,False,False,False
0.017330674,False,False,False
0.02154573,False,False,False
0.0075284396,False,False,False
0.004611891,False,False,False
0.0067828605,False,False,False
0.020915683,False,False,False
0.009553095,False,False,False
0.048254065,False,False,False
0.00696914,False,False,False
0.00789525,False,False,False
0.11659467,True,False,False
0.032549694,False,False,False
0.015497135,False,False,False
0.0101377675,False,False,False
0.028401269,False,False,False
0.009376715,False,False,False
0.012722637,False,False,False
0.012213125,False,False,False
0.008575568,False,False,False
0.00829991,False,False,False
0.0006501544,False,False,False
0.0062518492,False,False,False
0.008234722,False,False,False
0.005758456,False,False,False
0.010523517,False,False,False
0.010764991,False,False,False
0.0059571587,False,False,False
0.10290517,True,False,False
0.0060722195,False,False,False
0.0006501544,False,False,False
0.009791706,False,False,False
0.01252013,False,False,False
0.004564342,False,False,False
0.008531074,False,False,False
0.003902161,False,False,False
0.010336641,False,False,False
0.005613231,False,False,False
0.003721498,False,False,False
0.030156167,False,False,False
0.013087572,False,False,False
0.011140103,False,False,False
0.013111896,False,False,False
0.0055459635,False,False,False
0.0049958336,False,False,False
0.014599741,False,False,False
0.0049898233,False,False,False
0.0006501544,False,False,False
0.0073622926,False,False,False
0.006156441,False,False,False
0.0049375,False,False,False
0.0071552843,False,False,False
0.0072627002,False,False,False
0.006209609,False,False,False
0.033316456,False,False,False
0.004411866,False,False,False
0.03377999,False,False,False
0.0043696533,False,False,False
0.0018881806,False,False,False
0.07465389,False,False,False
0.011885025,False,False,False
0.006858205,False,False,False
0.023959892,False,False,False
